t,ax,ay,az,gx,gy,gz
0.0,79.052734,45.19043,17.089844,-29.785156,20.629883,-6.408691
0.010101010101010102,78.39486416625724,44.641251471727394,17.741993238718024,-25.351683608645942,22.23165382461985,-5.150157282761915
0.020202020202020204,77.73699433251446,44.09207294345479,18.39414247743605,-20.918211217291883,23.8334246492397,-3.8916235655238296
0.030303030303030304,65.33388995287645,46.21477041849729,20.83953997622452,-10.504409148152122,14.741215650991604,-0.25008792367416965
0.04040404040404041,73.81757723712892,43.58884874152044,23.363770354939376,-8.252175789353874,-7.378018511746751,3.9073899050214607
0.05050505050505051,75.12778125778081,37.655377469956285,23.34707990140513,-2.4105020122280667,-5.041348864167883,6.0354281997795365
0.06060606060606061,76.32323349319154,33.73917853885507,25.765292202169697,6.9816873069620895,-1.8042119667207657,6.840949601706002
0.07070707070707072,77.41481009579452,31.578116249297352,30.01826082481273,18.384862771771395,1.9689768277772426,6.579144283772688
0.08080808080808081,78.34342277170526,31.561680662460173,33.97924735062349,22.617037153598982,4.187786436423409,5.757362922303614
0.09090909090909091,74.66932081376547,32.45661467058062,38.969371396297184,28.08100740282733,4.42203306140816,3.3766500639383747
0.10101010101010102,68.37522753552739,33.77029649933312,44.20679741728085,33.98172017105181,3.0152230819310644,0.155401512719591
0.11111111111111112,65.11760650892958,33.71328828314673,46.16136949951096,37.03573975839462,-1.0160828801071546,-1.6770101062539486
0.12121212121212122,62.34223803301129,30.539504624354944,47.074826255984945,44.506710600097,-9.040685309661278,-3.7829163383540925
0.13131313131313133,60.3297338802774,26.043126966811585,47.305723791609566,54.22849352307789,-18.559094474228555,-5.754693958047834
0.14141414141414144,61.12491601354887,25.3053289658096,47.33031699115363,60.90966352644249,-22.043140478144586,-5.877659955768153
0.15151515151515152,60.69853990458085,26.72810209433344,42.45663288444533,72.40673023233673,-25.48090802230694,-4.901042369794987
0.16161616161616163,60.44293361002039,29.36778775768076,34.81901909210552,85.67011015627617,-28.79771419473351,-2.1827052377897713
0.17171717171717174,64.25456550950972,32.33147518051932,26.42190416539327,94.97279667083582,-31.637914950722106,6.255571911205804
0.18181818181818182,65.57757775647299,35.85715778263273,17.1621019480649,97.11463388718099,-35.338012549047896,7.704434888735806
0.19191919191919193,67.83849252528138,38.411605306960475,7.384833105307161,95.6800255907044,-40.24130804476041,5.759259993824353
0.20202020202020204,78.69955018274106,35.885014700625256,-2.8937957311804947,93.05499665113823,-48.485539285082424,3.052199109899047
0.21212121212121213,86.1418302474636,33.35996175653303,-7.403769270257632,91.46082833200113,-52.99357985729677,1.9933381907506802
0.22222222222222224,92.70887625494531,30.889757219562956,-9.423001387955617,90.3994937279694,-53.96080652558427,1.198580210233708
0.23232323232323235,100.9823235092011,28.58977198796577,-11.13783205558675,89.66804935790242,-48.67815385139521,-0.9144808594419143
0.24242424242424243,102.79977995019506,27.549000124724028,-11.259315988182003,90.4591445518654,-42.57826931305904,-3.2746791263120456
0.25252525252525254,102.1609492174309,26.345283578484295,-10.099105169541977,93.216336185201,-35.69251829119503,-6.557607440988807
0.26262626262626265,101.02361200129347,23.485692236148413,-6.971427159659133,99.87788444816144,-27.446821477683937,-12.122436913525396
0.27272727272727276,104.27904951500446,18.759058552399843,-2.0500628006375603,107.78167022071602,-21.211952882839412,-14.212541042033797
0.2828282828282829,107.13359049894362,14.662461600661375,2.8631723787567074,114.91926174766982,-16.736975885629615,-15.172061834522392
0.29292929292929293,105.43315930022789,13.700266654267256,6.322098820827077,119.06665584337901,-15.243913848092143,-15.96006668552678
0.30303030303030304,98.351425098905,13.646473169409127,11.9729920343691,128.80344428047258,-22.451147887647622,-24.11065191079335
0.31313131313131315,93.48106900837475,12.551211981724155,15.730597851253782,139.35791497511067,-31.16736636124915,-32.529979610855214
0.32323232323232326,95.73607375806445,8.896825235193987,14.571110004596093,148.833732269653,-38.684048860214844,-37.88761475817598
0.33333333333333337,105.20844667120107,10.236094267176586,6.817749283449811,168.74062605517457,-49.38860039593721,-49.39822604610033
0.3434343434343435,119.18788183965789,14.821255799596042,-1.6808551261104738,185.21477643012489,-57.53377300413954,-61.57681033051879
0.3535353535353536,137.86574931042412,22.87568189579556,-8.693133820976096,191.4353462721091,-59.9573714118125,-72.32143132765734
0.36363636363636365,148.2487705329305,27.06691933652019,-57.606089656657495,197.00676685284245,-40.22420663638094,-95.34008568598037
0.37373737373737376,156.58056838674312,38.619846010978335,-103.6046779372631,193.64532252682602,-11.924433800087039,-114.87569717271319
0.38383838383838387,163.7751899855382,63.701096221508145,-132.90777217867284,175.36732014325108,24.63157164921953,-125.07640536963825
0.393939393939394,149.38363109693103,73.45145958978424,-150.91572721614057,159.97905741555581,31.474194873963416,-139.0017943199882
0.4040404040404041,132.68512323070144,80.77175309945213,-171.03000167264474,135.14968241041265,25.32357054042994,-141.1598562839768
0.4141414141414142,115.8979954137072,86.88512757277256,-195.88612531320928,96.24265854431727,4.863488181018845,-125.75316825503276
0.42424242424242425,110.96152816055358,95.8886357459918,-205.8074431251634,76.87733746180095,-18.765862122230065,-122.24845770511062
0.43434343434343436,113.46278888968483,106.85108538950246,-210.17846587788378,46.699359229825944,-36.17427494657035,-128.100701681354
0.4444444444444445,124.03767392684159,119.96394212946505,-209.1568921155693,0.9679706632714726,-45.47219212702678,-144.42193880462625
0.4545454545454546,124.61578237414646,115.98756592870639,-205.30705273992388,-31.823771111136868,-10.137425756898388,-146.736367651422
0.4646464646464647,113.32310761520019,115.00377532101218,-192.770893567045,-57.13990287818739,22.03063752008694,-146.40767822497125
0.4747474747474748,89.36830001511163,119.32248421524248,-170.4912230096223,-75.20564664205773,45.72777705762865,-144.52649197182444
0.48484848484848486,52.28237646676376,115.33378193165404,-156.46114685024318,-108.29467757371803,85.57384956992487,-129.2924334921027
0.494949494949495,22.539605835513903,112.65057799594358,-146.43710187179914,-132.49452486435464,110.51356473575409,-117.73189778177743
0.5050505050505051,-0.14506325897625771,111.22219470736134,-140.26357929887772,-148.15025474036406,121.12556742134737,-109.70228359749413
0.5151515151515152,-44.862539513338085,100.16341167078349,-127.03829626411805,-182.05654388436065,115.44242719469675,-90.7348748631646
0.5252525252525253,-74.14329197619521,91.4677288443759,-116.72142509596029,-206.2064788757958,106.63361399827788,-75.31636194504352
0.5353535353535354,-88.79826353808566,84.78431553974094,-108.92317521516274,-221.16292803446373,94.76750482619084,-62.78903255535367
0.5454545454545455,-98.24904189459447,66.03985865146173,-89.16170534754094,-236.08738564542153,73.93114334597705,-25.70527056623542
0.5555555555555556,-101.89163597824877,51.79955377080074,-73.96275639045182,-236.05723321795926,60.70533801995239,16.96818967115502
0.5656565656565657,-100.34052246561875,41.006208640951314,-62.108418789063236,-223.35469481851715,54.191015798354144,62.89143825332761
0.5757575757575758,-93.52842565250253,23.739493702552807,-41.02493798546048,-209.83006941120425,52.863445210395305,82.09972564392076
0.5858585858585859,-85.21985168995137,11.508855973379589,-21.47038960461257,-187.30309606679515,50.32649975595508,102.73316727201885
0.595959595959596,-77.3844496693128,3.774046663815187,-4.083107862808669,-160.46846379160365,46.30199773233534,122.56026606888041
0.6060606060606061,-81.74409249345031,2.8196163249684822,4.943536517226866,-150.80283617472298,37.44520978996264,127.97948804499815
0.6161616161616162,-85.62356499302155,-2.820976820737467,22.35548187994891,-136.5627242537189,2.4311491283484834,132.62333967860306
0.6262626262626263,-84.5948776369535,-11.769066307660614,44.42093859899112,-121.62520229431667,-46.22221947287434,138.08534117542206
0.6363636363636365,-52.176230382584464,-22.300432263112533,60.675163953580544,-122.44158718470695,-70.75458800391507,152.6169932944211
0.6464646464646465,3.118017782963406,-38.311279550892344,84.301968549131,-105.41096320982068,-70.27917737626623,171.87091013579462
0.6565656565656566,61.89750305171132,-53.7522828696931,111.10725592838199,-76.25339420449613,-48.844730785001914,187.32690097407115
0.6666666666666667,70.91310947484008,-50.14933038984055,132.29722212293441,-38.20852185616552,5.158423556626936,169.60004700417244
0.6767676767676768,77.6033816672977,-56.55521198929031,139.4003326490336,-10.352796587462217,33.29500331694424,160.4213402902784
0.686868686868687,77.8730459550846,-64.60673270429992,140.4973081839454,16.83799670943093,40.95698747249922,154.0670695740352
0.696969696969697,57.4604087022872,-60.82872594100313,143.92519813953984,59.99195733253346,16.245238362246024,143.11573436815334
0.7070707070707072,62.41112309696974,-59.3078983436028,146.23671659188318,86.44939329605336,-7.062504363290639,136.3293175279941
0.7171717171717172,81.08430745127461,-57.07507286652326,147.12760552842013,107.29126342934678,-29.766138489977322,128.64606921680408
0.7272727272727273,110.22556025815588,-49.33773614385479,144.8389826872263,132.62085968220552,-52.40802858325762,112.19404850165856
0.7373737373737375,126.6651544778572,-45.82938865944507,141.88620613508903,146.04688909459603,-60.237053426736054,95.22101998108542
0.7474747474747475,141.30436976807414,-45.31033431745272,136.11120049315272,156.76437215207557,-60.90188964307196,77.45001779119244
0.7575757575757577,165.02158687818684,-49.39348821573969,122.1070649793291,172.7310821853559,-55.99545232256082,57.74111013643993
0.7676767676767677,172.71081199032426,-51.73381988696814,100.9071609332821,193.3435656216427,-49.84194447147495,39.02222354250846
0.7777777777777778,171.40091463260381,-52.15283423078729,80.3302104425393,212.43749739819307,-45.75246870972327,22.803503299503515
0.787878787878788,159.3871441276231,-49.023126771416656,66.74330658004219,224.19459944041063,-47.822380415372706,12.16415440582465
0.797979797979798,168.3876688296231,-50.38114660663391,40.05419312142246,245.60517155010916,-69.0889646226109,0.024403808931049653
0.8080808080808082,171.4177356598314,-48.611598280278784,12.698072278389418,263.54699063449016,-88.84805000539009,-6.580163313416403
0.8181818181818182,149.46039562216032,-37.27162598987295,-9.11146188705586,268.35067172797426,-94.80132978606301,0.2763731552016644
0.8282828282828284,158.44965856705787,-24.771149760366406,-42.73885429329035,264.98708199010713,-111.44032645522647,-42.4661789587388
0.8383838383838385,169.01623387832274,-12.197190130186923,-75.04433737640605,257.35950719635144,-121.49948057929859,-80.89478888211971
0.8484848484848485,168.40321268133155,-0.012340536892949672,-99.03614763215671,244.59522653325183,-112.72403783839496,-87.02500291581421
0.8585858585858587,157.0826223750854,14.52192951239091,-158.78993474359282,220.54603254162794,-76.07898021673483,-97.50957655648419
0.8686868686868687,139.2119310565922,37.832376180973064,-212.06540816481112,189.41307261461162,-42.18527929319951,-98.84284277037422
0.8787878787878789,113.06174231175424,75.27859565310075,-245.39728747129737,149.25122541677348,-19.977658834518582,-83.71057898520755
0.888888888888889,93.81905774420505,88.07430463625995,-253.94393337509052,125.0628548773543,-19.23878084358551,-74.03841697282036
0.8989898989898991,80.16275647454755,110.03435299262293,-239.9405764494978,89.57177018884752,-25.85027419064933,-63.38870151145234
0.9090909090909092,73.94376065374665,151.96697079626895,-195.24672464542357,32.564306347118645,-39.57352513610576,-49.99713018913511
0.9191919191919192,67.72476483294577,193.89958859991498,-150.55287284134934,-24.443157494610247,-53.296776081562186,-36.60555886681789
0.9292929292929294,61.50576901214481,235.83220640356149,-105.85902103727463,-81.45062133633975,-67.02002702701876,-23.21398754450052
0.9393939393939394,55.28677319134391,277.7648242072075,-61.1651692332004,-138.45808517806864,-80.74327797247518,-9.822416222183293
0.9494949494949496,49.067777370542956,319.697442010854,-16.47131742912569,-195.46554901979812,-94.46652891793177,3.5691551001340827
0.9595959595959597,42.848781549742064,361.6300598145,28.222534374948566,-252.47301286152702,-108.1897798633882,16.9607264224513
0.9696969696969697,36.62978572894117,403.562677618146,72.91638617902277,-309.4804767032559,-121.91303080884462,30.352297744768535
0.9797979797979799,30.410789908140217,445.4952954217925,117.61023798309748,-366.4879405449854,-135.6362817543012,43.743869067085896
0.98989898989899,24.191794087339325,487.42791322543854,162.30408978717173,-423.49540438671426,-149.35953269975764,57.13544038940313
1.0,17.972798266538433,529.3605310290845,206.99794159124593,-480.5028682284432,-163.08278364521405,70.52701171172036
